participant,FO_audwhat_RT,FO_audwhere_RT,FO_viswhat_RT,FO_viswhere_RT,SO_audwhat_RT,SO_audwhere_RT,SO_viswhat_RT,SO_viswhere_RT,FO_audwhat_accuracy,FO_audwhere_accuracy,FO_viswhat_accuracy,FO_viswhere_accuracy,SO_audwhat_accuracy,SO_audwhere_accuracy,SO_viswhat_accuracy,SO_viswhere_accuracy,cluster
reldom2_s001,1.015675147906137,1.7207220465312076,1.296370255156063,1.341634260375045,0.8089441323123197,1.6064543200000685,1.2512784035623667,1.1280003749999423,1.0,0.78125,1.0,0.96875,1.0,0.75,0.875,1.0,0
reldom2_s002,1.3492896406553427,1.356663569905379,1.1656477667814897,1.0583897080323954,1.4616677736241854,1.5849348018116416,1.3223617108752705,1.0958120826876439,0.75,0.8125,0.9375,0.9354838709677419,0.875,0.6875,0.9375,0.875,0
reldom2_s003,1.0774594512818112,1.1495726493753864,0.8778426608751175,0.9024439318750126,1.1034338667504358,1.0358213356254282,0.8329456790625045,0.7663901506251136,0.9375,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1
reldom2_s004,0.9601713866876196,1.1420653628126018,1.0301007719064756,0.8328032221564285,1.0521185288126276,1.008416145562677,0.955325927062745,0.7079794161250845,0.96875,1.0,1.0,0.96875,1.0,1.0,1.0,1.0,1
reldom2_s005,1.505763974812183,1.2592969682809496,1.1547930168434846,1.0041161133123495,1.255591054249635,0.9991822758122453,0.8956210153122584,0.8222832970622562,0.8125,0.9375,0.96875,0.9375,0.9375,1.0,0.9375,0.875,0
reldom2_s006,1.0141700982812338,1.012638977562439,0.965044728799982,0.8761129758063215,1.0673379993750274,0.9938968642498054,0.7591716584999517,0.8376906588748341,0.71875,1.0,1.0,0.8709677419354839,0.9375,1.0,0.9375,0.9375,1
reldom2_s007,1.2802187365938806,1.3561951480937893,1.2739226754376176,1.0763217912500949,1.0624341689376138,1.1599649893126411,0.9104383432501635,0.999142564687574,0.9375,0.96875,0.96875,0.96875,0.9375,1.0,0.9375,1.0,0
reldom2_s008,1.3120031401874144,1.4574111582189175,1.5018721376558233,1.6747266991376129,1.192298806999986,1.3382277391875732,1.2530313511869622,1.1205228458748593,0.90625,0.90625,1.0,0.6206896551724138,0.9375,1.0,0.9375,0.625,0
reldom2_s009,1.027517886312836,1.5679937434061486,1.2147170124689808,1.312487952781197,1.1757185804377457,1.6269258799998454,1.0341493458752211,1.3472313383124117,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
reldom2_s010,1.203981951531297,1.5021010257499867,0.9672617136452719,0.9908595091251016,1.4284999293124798,1.3064103487500205,0.7860717993750086,1.0522633515626012,0.8125,1.0,0.9354838709677419,1.0,0.6875,0.875,1.0,0.875,0
reldom2_s011,1.3725111571561825,1.2205525715311865,1.2175214435937747,1.0312527236563085,1.2029320101249255,1.3308705103750356,1.468072470937571,1.1009853487501005,0.90625,1.0,1.0,0.9375,0.9375,1.0,1.0,1.0,0
reldom2_s012,1.0641459987497939,1.241392804413565,1.292644835781303,0.9019711129062955,0.9581437942498781,1.4317128308121596,1.046221656125141,0.9491261609998674,0.96875,0.896551724137931,0.96875,1.0,1.0,0.8125,1.0,1.0,0
reldom2_s013,1.1873535548125176,1.256546245874759,1.0356478542499588,0.9729501754997614,1.2105545287500092,1.1461995284997784,0.8161378228124931,0.9361207419998152,0.84375,0.875,0.96875,1.0,0.9375,0.875,1.0,1.0,0
reldom2_s014,1.0655227967186534,1.9394209747812639,1.0792605656127658,0.9555876901935217,1.179647296562365,1.383884158375011,0.7973038305623561,0.9127426661249842,0.96875,0.78125,1.0,0.967741935483871,0.9375,0.9375,1.0,1.0,0
reldom2_s015,1.4218721599677044,1.4495882266250675,1.380047504031154,1.1694773267499698,1.2665841771250257,1.1244617290625456,1.3516414452498964,1.065471836000043,0.8709677419354839,0.96875,0.96875,0.96875,0.875,1.0,0.875,1.0,0
reldom2_s017,1.1810197329367043,1.2805007031562354,1.0990317279681676,0.8837373205628012,0.8816816196244872,1.0551676978751061,0.8708773256870472,0.8234806796876342,0.90625,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1
reldom2_s018,1.031045244840925,1.259821476595107,1.051065035247575,0.8665843059400231,0.9993850939349613,1.0354812369387218,0.9186229270608237,0.7571021716275936,0.9375,0.9375,1.0,1.0,0.875,0.9375,1.0,1.0,1
reldom2_s019,0.828058154718974,0.9097172212501476,0.7454207523124978,0.690467910937457,0.6769534295002586,0.8725334346877389,0.5118588329374774,0.6093672889374488,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1
reldom2_s023,1.8357895830657422,1.5309715586417951,1.666382754573533,1.220899727613869,1.3341796329341984,1.7569249712360033,1.446829502270945,1.0288166194295627,0.6451612903225806,0.75,0.9375,0.96875,0.6666666666666666,0.8125,0.8666666666666667,0.8125,0
reldom2_s024,1.1612725341501573,0.9895093191353226,0.9133890694329239,0.846784958545868,1.0434410811230919,0.9935594870494242,0.735575198305014,0.6437603701742773,0.90625,1.0,0.9375,1.0,0.9375,1.0,1.0,1.0,1
reldom2_s025,1.2840335084620165,1.374269523363182,1.0929953894566655,1.3267919122984992,0.9374158953432925,1.0746169761478086,0.9759642000390159,1.190151788883668,0.90625,0.96875,1.0,0.8387096774193549,1.0,0.9375,1.0,0.9375,0
reldom2_s026,0.9927527963773173,1.0702834954900027,1.0117631598186563,1.0715297392434877,0.8935637152462732,0.9596256634686142,0.7187081664451398,0.8181337547794101,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
reldom2_s027,0.8828532471870858,1.267434429531022,0.8137576938715938,0.8324507174966129,0.9472943671280518,1.0482885622514004,0.6755629505023535,0.8061792762491677,0.90625,0.9375,1.0,1.0,0.875,0.9375,1.0,1.0,1
reldom2_s028,1.2380381832081184,1.387765403251251,1.1440065553797467,1.0688057000534172,1.0550141244493716,1.1505205698267673,0.7854242547327885,0.9167032835721329,0.96875,1.0,1.0,0.96875,1.0,1.0,1.0,1.0,1
reldom2_s029,1.5178811900768778,1.4728153323291433,1.4375004702433216,1.3877292378989903,0.9817174921954575,1.6413974132350024,1.4756519298389321,1.138761518964505,0.96875,1.0,0.96875,0.9791666666666666,0.75,0.5,0.875,0.6666666666666666,0
reldom2_s031,1.245342542997605,1.5317796305080265,0.8781730638484078,0.9768647329474334,1.028905968687468,1.9376447425693186,1.0115050520616933,1.1421393022592383,0.875,0.9375,1.0,1.0,0.625,0.6875,0.625,0.6875,0
reldom2_s032,1.2686562194830913,1.1251068474084605,1.3767496157342975,0.8376636680113734,1.1308095881904592,0.8978669710631948,0.8427896014327416,0.5810110338570666,0.90625,0.96875,1.0,1.0,0.9375,1.0,1.0,1.0,1
reldom2_s033,0.8202327769904514,0.9889766653250263,0.7597555935367821,0.820231200181297,0.7170048695334117,0.8000166586934938,0.6916536711578374,0.7402030412777094,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
reldom2_s034,1.4291661236464044,1.6519722020634617,1.3333600103875554,1.1725235119677475,1.50488426556376,1.6014164141877245,1.1365851561256477,1.2486361482499433,1.0,0.9375,0.967741935483871,1.0,0.9375,0.9375,1.0,1.0,0
reldom2_s035,1.3687835665633656,1.3337121643141927,0.9723691251865603,0.9538980066870408,1.1208880755632435,1.075507078438477,0.8431062526242386,0.8236540574998799,0.875,0.9375,1.0,1.0,0.8125,1.0,1.0,1.0,1
reldom2_s036,1.215806016062288,1.3193387647543204,1.0922420603092178,1.1698340369068774,1.288791265936652,1.2945588936290733,0.9306338443093409,0.9109868230007123,0.9375,0.96875,1.0,0.9375,0.9375,1.0,1.0,1.0,0
reldom2_s037,1.0681334902803883,1.406572017530607,1.1404749028777132,1.0898224664085774,0.8286865320624202,1.4950699978112425,0.954407690564949,1.2037003518162237,0.96875,0.96875,1.0,0.9375,0.9375,0.8125,1.0,1.0,0
reldom2_s038,1.0505921620606387,1.0239652390082483,0.9165713629390666,0.8289949672034709,0.8253826111722447,0.9950043586213724,0.7888875231910788,0.6344609551403361,0.9375,0.90625,0.96875,1.0,0.9375,0.9375,0.9375,1.0,1
reldom2_s040,1.2328663855934678,1.2404244032579534,1.0739866617500127,1.1655261551876777,1.36636031018719,1.2263634789999855,1.2112161044996697,1.3955852972502498,0.6875,1.0,1.0,0.96875,0.625,0.9375,1.0,0.875,0
